input_index,input_context,input_file_key,input_first_author,worker_id_w1,work_time_in_seconds_w1,label_w1,worker_id_w2,work_time_in_seconds_w2,label_w2,worker_id_w3,work_time_in_seconds_w3,label_w3,batch,majority_vote,majority_agreement,lemos_label,temp_label_3/3
1227,"Additionally, to visualize the procedure of cyclic update, we choose a test scenario where the ground truth classes of five query images are [1, 2, 3, 4, 5] and visualize instance-level similarities which is used for predictions of five query samples as shown in Figure 8.",RS_130_ICLR_2019_02,First Author: Bertinetto,A2HM35CWB7IIFM,4,Positive,A2QD9PJUKW7PKK,40,Neutral,A2R2YZTSME1K3F,95,Positive,batch_25,Positive,2,Positive,OK
1268,"We introduce a practical and efficient algorithm for TASML, along with several algorithmic modifications aimed at improving model efficiency and performance, including: representation pre-training, optimization as a layer Amos & Kolter (2017); Bertinetto et al. (2019), and least-squares relaxation of classification loss.",RS_130_ICLR_2019_02,First Author: Bertinetto,A2HM35CWB7IIFM,5,Positive,A2QD9PJUKW7PKK,45,Neutral,A2R2YZTSME1K3F,57,Positive,batch_25,Positive,2,Positive,OK
1273,"3 we compare NARL against the publicly released data from [34], setting (M = 3, M = 1) and (M = 5, M = 0.",RS_125_NeurIPS_2019_08,First Author: Janner,A2HM35CWB7IIFM,4,Positive,A18LFH7XW61JO9,13,Positive,A2R2YZTSME1K3F,51,Positive,batch_23,Positive,3,Positive,OK
1304,"Our study utilizes two well-performing self-supervised Vision Transformers, MAE (He et al., 2022) and MoCo v3 (Chen et al.",RS_040_MLRC_2022_40,"Cited Paper: (He et al., 2022)",A2HM35CWB7IIFM,3,Positive,A2QD9PJUKW7PKK,147,Positive,A1FVXS8IM5QYO8,6,Positive,batch_2,Positive,3,Positive,OK
1306,"To simplify the consistency regularization process, FixMatch (Sohn et al., 2020) classified two unlabeled augmented views into a weak view and a strong view, and then minimized the divergence between the probability dis-",RS_102_MLRC_2020_09,"Cited Paper: (Sohn et al., 2020)",A18LFH7XW61JO9,13,Neutral,A2QD9PJUKW7PKK,69,Positive,A3NAHN61XJ3ZAT,7,Neutral,batch_13,Neutral,2,Neutral,OK
1329,"The latent space can also be used as a way to control the generation process, for instance to edit images [15, 16, 17].",RS_055_MLRC_2021_10,First Author: Härkönen,A2HM35CWB7IIFM,4,Positive,A1G94QON7A9K0N,49,Neutral,A1IXVXZ5AYYNMJ,8,Neutral,batch_8,Neutral,2,Neutral,OK
1334,"Despite there are many methods aiming to find out these relations [8,15], most of them are too costly to be a practical option.",RS_055_MLRC_2021_10,First Author: Härkönen,A1G94QON7A9K0N,18,Negative,A3NAHN61XJ3ZAT,13,Negative,A2HM35CWB7IIFM,3,Negative,batch_8,Negative,3,Negative,OK
1350,"Interestingly MAE achieves high linear-classification accuracy but performs very poorly on kNN evaluation protocols [40], perhaps also indicating a lack of clustering based on class-specific semantic information.",RS_040_MLRC_2022_40,First Author: He,A18LFH7XW61JO9,36,Neutral,A2QD9PJUKW7PKK,65,Negative,A37WXDYYT7RCZ0,7,Neutral,batch_2,Neutral,2,Neutral,OK
1398,"Then, we apply a sharpening function to reduce the entropy of the label distribution instead of a argmax function used in [29] since some potential associations between different class embeddings are covered.",RS_102_MLRC_2020_09,First Author: Sohn,A2QD9PJUKW7PKK,64,Positive,A2HM35CWB7IIFM,5,Positive,A18LFH7XW61JO9,13,Neutral,batch_13,Positive,2,Positive,OK
1506,"Towards this goal, we leverage the denoising score-matching generative model [58] to model the gradient of its log-probability.",RS_120_NeurIPS_2019_03,First Author: Song,A18LFH7XW61JO9,22,Neutral,A2R2YZTSME1K3F,33,Positive,A2HM35CWB7IIFM,4,Positive,batch_19,Positive,2,Positive,OK
1511,"As suggested by [13], we use a masking ratio of 75%, which speeds up the pretraining process since only 25% of the patches need to be processed by the MAE encoder.",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,259,Positive,A2HM35CWB7IIFM,4,Positive,A18LFH7XW61JO9,14,Positive,batch_2,Positive,3,Positive,OK
1527,"as a general-purpose tool for learning complex policies (Mnih et al., 2015; Lillicrap et al., 2016; Haarnoja et al., 2018), has the problem of low-efficiency (Janner et al., 2019), which limits the application in real-world physical systems where data collection can be an arduous process.",RS_125_NeurIPS_2019_08,"Cited Paper: (Janner et al., 2019)",A18LFH7XW61JO9,22,Neutral,A2QD9PJUKW7PKK,68,Negative,A2HM35CWB7IIFM,6,Negative,batch_23,Negative,2,Negative,OK
1607,"Just like learning diffused distribution xt ln p(xt) improves upon direct estimation of x ln p(x) [22, 23], diffusing both the input x and condition y, and then learning xt ln p(xt|yt) could make optimization easier and give better results than learning xt ln p(xt|y) directly.",RS_120_NeurIPS_2019_03,First Author: Song,A18LFH7XW61JO9,10,Neutral,A2R2YZTSME1K3F,43,Neutral,A2HM35CWB7IIFM,5,Positive,batch_19,Neutral,2,Neutral,OK
1617,"Following [20, 21], validation data are not provided for CV datasets.",RS_102_MLRC_2020_09,First Author: Sohn,A18LFH7XW61JO9,18,Positive,A2QD9PJUKW7PKK,90,Negative,A2HM35CWB7IIFM,5,Negative,batch_13,Negative,2,Negative,OK
1673,Label consistency is a good choice to achieve this goal because it encourages the fine-tuned model to produce the same output when there are minor perturbations in the input [36].,RS_102_MLRC_2020_09,First Author: Sohn,A2HM35CWB7IIFM,4,Positive,A18LFH7XW61JO9,12,Neutral,A2QD9PJUKW7PKK,103,Neutral,batch_13,Neutral,2,Neutral,OK
1725,"3, our L2AC provides a relatively balanced per-class recall compared with the baseline FixMatch (Sohn et al., 2020) and other imbalanced SSL methods, e.g., DARP (Kim et al., 2020a) and ABC (Lee et al., 2021).",RS_102_MLRC_2020_09,"Cited Paper: (Sohn et al., 2020)",A18LFH7XW61JO9,11,Positive,A2HM35CWB7IIFM,5,Positive,A2QD9PJUKW7PKK,130,Positive,batch_13,Positive,3,Positive,OK
1781,"Masked autoencoder (MAE) [83] develops an asymmetric encoder-decoder architecture to couple the self-supervised reconstruction and backend training, yielding a promising transfer performance for the downstream tasks.",RS_120_NeurIPS_2019_03,First Author: Song,A18LFH7XW61JO9,8,Neutral,A2R2YZTSME1K3F,151,Neutral,A3EG4C9T4F5DUR,20,Positive,batch_19,Neutral,2,Neutral,OK
1885,", FixMatch (Sohn et al., 2020), fail in the MNAR scenario.",RS_102_MLRC_2020_09,"Cited Paper: (Sohn et al., 2020)",A2QD9PJUKW7PKK,60,Negative,A2HM35CWB7IIFM,4,Negative,A18LFH7XW61JO9,14,Neutral,batch_13,Negative,2,Negative,OK
1906,MAE [27] proposes an asymmetric encoder-decoder architecture for better efficiency.,RS_120_NeurIPS_2019_03,First Author: Song,A2R2YZTSME1K3F,32,Neutral,A18LFH7XW61JO9,13,Neutral,A2QD9PJUKW7PKK,178,Neutral,batch_19,Neutral,3,Neutral,OK
1968,"We use two pretrained Masked Autoencoders (He et al., 2022) that are available from their official repository.",RS_120_NeurIPS_2019_03,First Author: Song,A18LFH7XW61JO9,9,Neutral,A2R2YZTSME1K3F,61,Positive,A2HM35CWB7IIFM,4,Positive,batch_19,Positive,2,Positive,OK
2052,Fixmatch [27] simplifies the learning process by training the model with high-confidence pseudo labels.,RS_102_MLRC_2020_09,First Author: Sohn,A2QD9PJUKW7PKK,67,Neutral,A18LFH7XW61JO9,13,Neutral,A2HM35CWB7IIFM,4,Neutral,batch_13,Neutral,3,Neutral,OK
2132,"Inspired by MAE [10], we propose an augmentation framework named MGPose.",RS_120_NeurIPS_2019_03,First Author: Song,A18LFH7XW61JO9,18,Positive,A2R2YZTSME1K3F,143,Positive,A2HM35CWB7IIFM,4,Positive,batch_19,Positive,3,Positive,OK
2146,"We implemented the 3D MAE using 3D-ResNetBlocks instead of Vision Transformer, different from the previous study [13], due to the constraint of GPU memory.",RS_120_NeurIPS_2019_03,First Author: Song,A2R2YZTSME1K3F,66,Negative,A18LFH7XW61JO9,11,Positive,A2HM35CWB7IIFM,5,Negative,batch_19,Negative,2,Negative,OK
2195,"However, in the early phase of training, consistency regularization regularizes the model towards high entropy predictions, and prevents it from achieving good accuracy[13].",RS_102_MLRC_2020_09,First Author: Sohn,A3NAHN61XJ3ZAT,24,Negative,A18LFH7XW61JO9,14,Neutral,A2HM35CWB7IIFM,4,Negative,batch_14,Negative,2,Negative,OK
2249,"While these models can achieve impressive results on many tasks [12], they often require massive amounts of data and computation to train, making them impractical for many real-world applications.",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,102,Neutral,A1G94QON7A9K0N,75,Negative,A3EG4C9T4F5DUR,13,Negative,batch_3,Negative,2,Negative,OK
2383,"We train vision transformers (ViT-B and ViT-L) (Dosovitskiy et al., 2020) on these 4 datasets using Masked AutoEncoding (MAE) (He et al., 2021), and systematically analyze their performance on CORTEXBENCH.",RS_102_MLRC_2020_09,First Author: Sohn,A3NAHN61XJ3ZAT,14,Positive,A2HM35CWB7IIFM,4,Positive,A18LFH7XW61JO9,14,Neutral,batch_14,Positive,2,Positive,OK
2453,"Furthermore, we note that our model does not use the [cls] token, unlike the approach by He et al. (2022).",RS_102_MLRC_2020_09,First Author: Sohn,A3NAHN61XJ3ZAT,9,Negative,A18LFH7XW61JO9,14,Neutral,AKSJ3C5O3V9RB,365,Negative,batch_14,Negative,2,Negative,OK
2475,"Follow MAE (He et al., 2021), we evaluate the performance of the proposed Layer Grafted Pre-training with different number of fixing blocks.",RS_120_NeurIPS_2019_03,First Author: Song,A2R2YZTSME1K3F,78,Positive,A18LFH7XW61JO9,9,Positive,A2HM35CWB7IIFM,5,Positive,batch_19,Positive,3,Positive,OK
2552,We compare the performance of MAE pretraining on the large scale IG-3B with the original MAE [33] models trained on IN1k for 1600 epochs.,RS_102_MLRC_2020_09,First Author: Sohn,A3NAHN61XJ3ZAT,9,Positive,A18LFH7XW61JO9,15,Positive,A5V3ZMQI0PU3F,10,Positive,batch_14,Positive,3,Positive,OK
2621,"Surprisingly, when we directly reconstruct masked joints using a method similar to that in MAE [10], the performance degrades instead.",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,183,Negative,A1G94QON7A9K0N,16,Negative,A1FVXS8IM5QYO8,4,Negative,batch_3,Negative,3,Negative,OK
2685,"However, we designed FaceMAE, a masked autoencoder [25] specialized for FER-W, by making two major modifications to the original masked autoencoding scheme.",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,72,Positive,A18LFH7XW61JO9,24,Positive,A1G94QON7A9K0N,8,Positive,batch_3,Positive,3,Positive,OK
2839,"For all the models involved in the experiments including DeiT (Touvron et al., 2020), MoCo v3 (Chen et al., 2021), DINO (Caron et al., 2021), BEiT (Bao et al., 2021), MAE (He et al., 2021), CAE (Chen et al., 2022a), and iBOT (Zhou et al., 2021), we use their official code to implement the encoders.",RS_120_NeurIPS_2019_03,First Author: Song,A2R2YZTSME1K3F,42,Positive,A1FVXS8IM5QYO8,4,Positive,A2QD9PJUKW7PKK,84,Positive,batch_20,Positive,3,Positive,OK
2944,"Is it possible to reduce the random mask ratio to increase pre-training efficiency and improve consistency? In fact, the prior work [19] already shows that reducing the mask ratio brings lower transfer ability for downstream tasks.",RS_040_MLRC_2022_40,First Author: He,A18LFH7XW61JO9,45,Negative,A1G94QON7A9K0N,25,Negative,A5V3ZMQI0PU3F,62,Neutral,batch_3,Negative,2,Negative,OK
2950,"Second, MAE (He et al, 2022) improves adversarial robustness on ViTs, while MOCOv3 (Chen et al, 2021) benefits adversarial robustness.",RS_102_MLRC_2020_09,First Author: Sohn,A2HM35CWB7IIFM,4,Positive,A3NAHN61XJ3ZAT,11,Neutral,A18LFH7XW61JO9,14,Neutral,batch_14,Neutral,2,Neutral,OK
2958,Different reconstruction results of MAE [19] correspond to different mask seeds.,RS_102_MLRC_2020_09,First Author: Sohn,A3NAHN61XJ3ZAT,8,Neutral,A18LFH7XW61JO9,17,Neutral,A5V3ZMQI0PU3F,26,Positive,batch_14,Neutral,2,Neutral,OK
3067,"(Yang et al., 2022)Oriented RCNN ViTAE 81.24 Use MAE (He et al., 2022) to pretrain the plain ViTAE transformer.",RS_040_MLRC_2022_40,"Cited Paper: (He et al., 2022)",A1G94QON7A9K0N,20,Neutral,A18LFH7XW61JO9,13,Positive,A5V3ZMQI0PU3F,63,Neutral,batch_3,Neutral,2,Neutral,OK
3177,"For our experiments, we use the CNN feature map (Santoro et al., 2017; Zambaldi et al., 2018) for end-to-end learned fixedregion representations and the mini-patch representations from pre-trained Masked AutoEncoder (MAE) (He et al., 2022) for pre-trained fixed-region representations.",RS_040_MLRC_2022_40,"Cited Paper: (He et al., 2022)",A1G94QON7A9K0N,24,Positive,A18LFH7XW61JO9,12,Positive,A5V3ZMQI0PU3F,28,Positive,batch_3,Positive,3,Positive,OK
3219,"Patch-based masking methods for self-supervised learning (Bao et al., 2022; He et al., 2021; El-Nouby et al., 2021a) have recently demonstrated their potential for image generation (Chang et al.",RS_120_NeurIPS_2019_03,First Author: Song,A18LFH7XW61JO9,8,Neutral,A1G94QON7A9K0N,7,Neutral,A3EG4C9T4F5DUR,17,Positive,batch_20,Neutral,2,Neutral,OK
3256,"Different from models like MAE He et al. (2022) and SimMIM Xie et al. (2022) that are specifically tailored for particular network architectures, our framework can be seamlessly applied to any deep vision models without any customization or auxiliary network components beside the simple linear head",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,131,Neutral,A18LFH7XW61JO9,20,Positive,A1G94QON7A9K0N,22,Positive,batch_3,Positive,2,Neutral,ISSUE
3325,"The algorithms include MoCo-v2 (He et al., 2020), MoCo-v3 (Chen et al., 2021a), InstDisc (Wu et al., 2018), BYOL (Grill et al., 2020), SwAV (Caron et al., 2020), OBoW (Gidaris et al., 2021), SimSiam (Chen & He, 2021), Barlow Twins (Zbontar et al., 2021), DINO (Caron et al., 2021), MAE (He et al., 2022), iBOT (Zhou et al., 2022) and EsViT (Li et al., 2022a).",RS_040_MLRC_2022_40,"Cited Paper: (He et al., 2020)",A2QD9PJUKW7PKK,146,Neutral,A18LFH7XW61JO9,14,Neutral,A1G94QON7A9K0N,13,Neutral,batch_3,Neutral,3,Neutral,OK
3354,"It means that our RangeViT approach, by being able to use off-the-shelf pre-trained ViT models, can directly benefit from current and future advances on the training ViT models with natural RGB images, a very active and rapidly growing research field [22, 39, 46, 47].",RS_040_MLRC_2022_40,First Author: He,A1G94QON7A9K0N,30,Positive,A2QD9PJUKW7PKK,289,Positive,A18LFH7XW61JO9,11,Neutral,batch_3,Positive,2,Neutral,ISSUE
3467," Representations learned by offline Q-learning give rise to more than 80% better performance when fine-tuning on new games compared to representations from state-of-the-art returnconditioned supervised (Lee et al., 2022) and self-supervised methods (He et al., 2021; Oord et al., 2018).",RS_120_NeurIPS_2019_03,First Author: Song,A2R2YZTSME1K3F,53,Neutral,A18LFH7XW61JO9,33,Positive,A2QD9PJUKW7PKK,79,Positive,batch_20,Positive,2,Positive,OK
3559,We retrained the CSWin transformer without redesign and original transformer [9] separately and compared them with our redesigned,RS_102_MLRC_2020_09,First Author: Sohn,A3NAHN61XJ3ZAT,28,Positive,A2HM35CWB7IIFM,4,Positive,A18LFH7XW61JO9,15,Positive,batch_14,Positive,3,Positive,OK
3578,"Similarly, while layer-wise lr decay improved the performance of high-level vision tasks when fine-tuning Transformer models [6, 25], our models could not learn the representations well with that regularization.",RS_120_NeurIPS_2019_03,First Author: Song,A2R2YZTSME1K3F,52,Negative,A2QD9PJUKW7PKK,53,Negative,A1G94QON7A9K0N,8,Negative,batch_20,Negative,3,Negative,OK
3673,"Importantly, our method is also effective for self-supervised learning (e.g., MAE [22]).",RS_120_NeurIPS_2019_03,First Author: Song,A2QD9PJUKW7PKK,47,Positive,A18LFH7XW61JO9,6,Neutral,A2R2YZTSME1K3F,35,Positive,batch_20,Positive,2,Neutral,ISSUE
3723,"However, in general MAE is performing worse than other SSL methods on linear probing (see Table III), which has also been reported in recent works [41, 42].",RS_120_NeurIPS_2019_03,First Author: Song,A2R2YZTSME1K3F,49,Neutral,A2QD9PJUKW7PKK,625,Negative,A3EG4C9T4F5DUR,920,Negative,batch_20,Negative,2,Negative,OK
3726,"Furthermore, inspired by He et al. (2021), we explore enhancing the visual encoder via randomly masking the input image tokens and then reconstructing them, which can help reduce the computation cost during training and boost visual embedding by maintaining low-level visual information.",RS_102_MLRC_2020_09,First Author: Sohn,A3NAHN61XJ3ZAT,14,Neutral,A18LFH7XW61JO9,14,Positive,A5V3ZMQI0PU3F,18,Positive,batch_14,Positive,2,Positive,OK
3733,"Recent years have seen the rapid proliferation of vision transformers (ViTs) across a diverse range of tasks from image classification to semantic segmentation to object detection (Dosovitskiy et al., 2020; He et al., 2021; Dong et al., 2021; Liu et al., 2021; Zhai et al., 2021; Dai et al., 2021).",RS_102_MLRC_2020_09,First Author: Sohn,A3NAHN61XJ3ZAT,7,Neutral,A18LFH7XW61JO9,18,Neutral,A5V3ZMQI0PU3F,16,Neutral,batch_14,Neutral,3,Neutral,OK
3774,"Inspired by the representation bottleneck and the mask-based method MAE [45], we propose a training",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,62,Neutral,A1G94QON7A9K0N,13,Positive,A37WXDYYT7RCZ0,3,Neutral,batch_3,Neutral,2,Neutral,OK
3834,"Indeed, we have observed that freezing the backbone and training a linear classifier on top of MAE features perform very poorly [34].",RS_040_MLRC_2022_40,First Author: He,A2HM35CWB7IIFM,6,Negative,A18LFH7XW61JO9,14,Negative,A2QD9PJUKW7PKK,116,Negative,batch_4,Negative,3,Negative,OK
3870,"We hypothesize that the object-reasoning-like behaviour demonstrated to appear in the self-supervision task of masked image modelling [2, 3] can be utilized also for explicit object-centric representation learning.",RS_120_NeurIPS_2019_03,First Author: Song,A2R2YZTSME1K3F,81,Neutral,A18LFH7XW61JO9,21,Neutral,A1G94QON7A9K0N,7,Positive,batch_20,Neutral,2,Neutral,OK
4003,"For the low-level target, ViT (Dosovitskiy et al., 2020), MAE (He et al., 2022), SimMIM (Liu et al., 2022b), ConvMAE (Gao et al., 2022), HiViT (Zhang et al., 2022) and GreenMIM (Huang et al., 2022) utilize the original or normalized pixels as the MIM target.",RS_120_NeurIPS_2019_03,First Author: Song,A2R2YZTSME1K3F,38,Neutral,A18LFH7XW61JO9,6,Neutral,A37WXDYYT7RCZ0,5,Neutral,batch_20,Neutral,3,Neutral,OK
4006,"Following MAE (He et al., 2022) and BEiT v2 (Peng et al., 2022), we test the robustness of MaskDistill on three ImageNet validation sets, i.e., ImageNet-Adversarial (Hendrycks et al., 2021b), ImageNet-Rendition (Hendrycks et al., 2021a) and ImageNet-Sketch (Wang et al., 2019).",RS_120_NeurIPS_2019_03,First Author: Song,A2R2YZTSME1K3F,191,Positive,A2QD9PJUKW7PKK,43,Positive,A18LFH7XW61JO9,12,Positive,batch_20,Positive,3,Positive,OK
4030,"Unfortunately, this setting may entail a long training epoch in PlantCLEF2022 to have a better performance, such as 800 epochs in MAE (He et al., 2022).",RS_040_MLRC_2022_40,"Cited Paper: (He et al., 2022)",A18LFH7XW61JO9,12,Neutral,A2HM35CWB7IIFM,4,Negative,A2QD9PJUKW7PKK,270,Negative,batch_4,Negative,2,Negative,OK
4193,"However, due to the low information density of image data [20, 44], there is still much noisy and redundant information after their proposed augmentation, which would affect the extraction of desired information and thus limit the performance of CL in practice.",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,277,Negative,A18LFH7XW61JO9,13,Neutral,A3NAHN61XJ3ZAT,36,Negative,batch_4,Negative,2,Negative,OK
4207,3 improvement on AP bbox than MAE [20] (53.,RS_102_MLRC_2020_09,First Author: Sohn,AKSJ3C5O3V9RB,902,Neutral,A2QD9PJUKW7PKK,16,Positive,A18LFH7XW61JO9,8,Neutral,batch_15,Neutral,2,Neutral,OK
4214,"However, in general MAE is performing worse than other SSL methods on linear probing (see Table III), which has also been reported in recent works [41, 42].",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,62,Neutral,A18LFH7XW61JO9,15,Negative,A3NAHN61XJ3ZAT,9,Neutral,batch_4,Neutral,2,Neutral,OK
4220,"We also adopt an asymmetric architecture as in [18]: the encoder is optimized to learn effective fMRI representations, while the decoder tries to predict the masked patches.",RS_102_MLRC_2020_09,First Author: Sohn,A2QD9PJUKW7PKK,68,Positive,A2HM35CWB7IIFM,5,Positive,AJ0RL2YCXZC25,42,Neutral,batch_15,Positive,2,Positive,OK
4253,"The weight decay is set to zero, following the setups in MAE [20].",RS_102_MLRC_2020_09,First Author: Sohn,AKSJ3C5O3V9RB,799,Positive,A18LFH7XW61JO9,17,Positive,A2HM35CWB7IIFM,4,Positive,batch_15,Positive,3,Positive,OK
4291,"Like MAE [10], each encoder in our approach maps the partially observed signal to the latent representation, which has been approved to be effective to learn object semantics",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,74,Neutral,A18LFH7XW61JO9,9,Positive,A3NAHN61XJ3ZAT,7,Neutral,batch_4,Neutral,2,Neutral,OK
4298,"1) Black-Box Attack: For the attack model, we adopt a similar structure to the edge model: an MAE decoder [18] is used, and is pretrained on ImageNet.",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,1281,Positive,A3NAHN61XJ3ZAT,10,Positive,A18LFH7XW61JO9,16,Positive,batch_4,Positive,3,Positive,OK
4326,"BERT (Kenton and Toutanova, 2019) and MAE (He et al., 2022), to classification tasks in NLP, the linear probing performs poorly because the extracted features are specialized for mask prediction and might not contain enough information for classification (Wallat et al.",RS_102_MLRC_2020_09,First Author: Sohn,A3NAHN61XJ3ZAT,12,Negative,A18LFH7XW61JO9,9,Neutral,A2HM35CWB7IIFM,4,Negative,batch_15,Negative,2,Negative,OK
4441,"Another exception is the masked auto-enconder [60] based on the ViT backbone, where we place SSPCAB and SSMCTB before the first transformer block.",RS_120_NeurIPS_2019_03,First Author: Song,A2R2YZTSME1K3F,52,Positive,A18LFH7XW61JO9,8,Neutral,A2QD9PJUKW7PKK,48,Neutral,batch_21,Neutral,2,Neutral,OK
4469," We show that block-wise masking provides superior performance on Masked Siamese ConvNets to the discrete random masking, commonly used in selfsupervised representation learning frameworks [20, 24, 1].",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,77,Neutral,A18LFH7XW61JO9,17,Neutral,A3NAHN61XJ3ZAT,19,Neutral,batch_4,Neutral,3,Neutral,OK
4537,"Table 1: Token Merging ablation experiments using ViT-L/16 from MAE (He et al., 2022) on ImageNet-1k evaluated off-the-shelf without training, using r = 8.",RS_040_MLRC_2022_40,"Cited Paper: (He et al., 2022)",A2QD9PJUKW7PKK,73,Neutral,A18LFH7XW61JO9,13,Positive,AKSJ3C5O3V9RB,34454,Positive,batch_4,Positive,2,Positive,OK
4541,"We follow the exact same protocol as MAE [38] for that, with global average pooling for CroCo as we did not include a [CLS] token in our model.",RS_102_MLRC_2020_09,First Author: Sohn,A18LFH7XW61JO9,16,Positive,A2HM35CWB7IIFM,4,Positive,A3NAHN61XJ3ZAT,11,Positive,batch_15,Positive,3,Positive,OK
4653,"In the absence of prior work applying masked autoencoding to abstract/synthetic imagery, we explore a large masked pixel percentage (75% of the image), thus forcing the model to attempt to recover the image based only on the unmasked 25% of the image, such high percentages have been shown to work well for natural imagery [30].",RS_120_NeurIPS_2019_03,First Author: Song,A2R2YZTSME1K3F,48,Positive,A18LFH7XW61JO9,9,Neutral,A1IXVXZ5AYYNMJ,19,Positive,batch_21,Positive,2,Positive,OK
4712,"Our decoder is another vanilla ViT deployed on the union of the encoded patch set and a set of mask tokens (He et al., 2022).",RS_102_MLRC_2020_09,First Author: Sohn,A2HM35CWB7IIFM,3,Positive,A18LFH7XW61JO9,10,Neutral,A3NAHN61XJ3ZAT,7,Neutral,batch_15,Neutral,2,Neutral,OK
4724,"We fine-tune a stateof-the-art vision transformer model pretrained with masked autoencoding (He et al., 2021) for 100 epochs on rotated MNIST (Weiler and Cesa, 2019) (details in Appendix C.",RS_040_MLRC_2022_40,"Cited Paper: (He et al., 2021)",A2QD9PJUKW7PKK,49,Positive,A2HM35CWB7IIFM,4,Positive,A18LFH7XW61JO9,12,Positive,batch_4,Positive,3,Positive,OK
4840,"He et al., 2022) and VideoMAE (Tong et al., 2022) to conduct further comparison on video and image datasets, which follows the self-supervised pre-training setting2 in S. Chen et al. (2022) except that the batch size is set to 256 instead of 1, 024.",RS_102_MLRC_2020_09,First Author: Sohn,A18LFH7XW61JO9,12,Positive,A2HM35CWB7IIFM,4,Positive,A5V3ZMQI0PU3F,85,Neutral,batch_15,Positive,2,Positive,OK
5027,"Different from existing works that focus on MVM for pure vision problems [4, 22, 86], we study MVM as a VidL pre-training task.",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,110,Positive,A2HM35CWB7IIFM,5,Positive,A3NAHN61XJ3ZAT,8,Neutral,batch_4,Positive,2,Positive,OK
5630,"For the MAE, we only modified its input size of the ViT model in its encoder and decoder (from 224 to 512), and other model details are the same as those in [10].",RS_040_MLRC_2022_40,First Author: He,A2HM35CWB7IIFM,5,Positive,A18LFH7XW61JO9,21,Positive,A5V3ZMQI0PU3F,23,Positive,batch_5,Positive,3,Positive,OK
5814,"rying out the masked image modeling task (He et al., 2022; Xie et al., 2022).",RS_040_MLRC_2022_40,First Author: He,A18LFH7XW61JO9,14,Neutral,A5V3ZMQI0PU3F,8,Neutral,A2HM35CWB7IIFM,5,Neutral,batch_5,Neutral,3,Neutral,OK
5913,"Unlike MAE (He et al., 2021) that shuffles or unshuffles the token list, we gather the vector of target patches in the correct order.",RS_040_MLRC_2022_40,"Cited Paper: (He et al., 2021)",A18LFH7XW61JO9,11,Positive,A2QD9PJUKW7PKK,881,Neutral,A3NAHN61XJ3ZAT,7,Neutral,batch_5,Neutral,2,Neutral,OK
6159,"Compared with MAE-Base [26], ConvMAE-Base improves the ImageNet-1K finetuning accuracy to 85.",RS_040_MLRC_2022_40,First Author: He,A18LFH7XW61JO9,15,Positive,A2HM35CWB7IIFM,5,Positive,A3NAHN61XJ3ZAT,9,Neutral,batch_5,Positive,2,Positive,OK
6326,The ViT models are pre-trained using MAE [23] on IN-1K.,RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,44,Positive,A3NAHN61XJ3ZAT,6,Neutral,A2HM35CWB7IIFM,5,Positive,batch_5,Positive,2,Positive,OK
6924,"The original MAE [16] masks random patches of the input image, but the same strategy is not suitable for our DeepfakeMAE for the following reasons.",RS_040_MLRC_2022_40,First Author: He,A3NAHN61XJ3ZAT,10,Negative,A18LFH7XW61JO9,12,Positive,A2HM35CWB7IIFM,7,Negative,batch_5,Negative,2,Negative,OK
7078,"This random masking strategy is also consistent with pioneering self-supervised learning approaches that conjugate masked image modeling with the ViT models in a patch-wise manner (Bao et al., 2021; He et al., 2022; Xie et al., 2022).",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,85,Neutral,A3NAHN61XJ3ZAT,7,Neutral,A2HM35CWB7IIFM,4,Positive,batch_5,Neutral,2,Neutral,OK
7082,"We compare ViT-B trained by different methods: supervised model (ERM), multimodal learning - CLIP (Radford et al., 2021), and self-supervised learning - DINO (Caron et al., 2021) and MAE (He et al., 2022).",RS_040_MLRC_2022_40,"Cited Paper: (He et al., 2022)",A3NAHN61XJ3ZAT,14,Positive,A2HM35CWB7IIFM,6,Positive,A2QD9PJUKW7PKK,1252,Positive,batch_5,Positive,3,Positive,OK
7098,"However, the encoder for MAE is a vision transformer [56], which is not suitable for processing high-resolution SAR images due to its huge memory usage.",RS_040_MLRC_2022_40,First Author: He,A2HM35CWB7IIFM,6,Negative,A18LFH7XW61JO9,13,Negative,A2QD9PJUKW7PKK,23123,Negative,batch_5,Negative,3,Negative,OK
